High minus low,close minus high,seven day moving average,fourteen day moving average,twentyone day moving average,seven day standard deviation
2.5500000000000114,2.5500000000000114,150.39,150.39,150.39,0
4.420000000000016,2.8700000000000045,151.665,151.665,151.665,1.8031222920257042
1.9800000000000182,1.3700000000000045,153.04666666666665,153.04666666666665,153.04666666666665,2.7115739586692773
1.1500000000000057,0.8599999999999852,154.07999999999998,154.07999999999998,154.07999999999998,3.0286740773260368
1.2299999999999898,0.9399999999999977,154.87199999999999,154.87199999999999,154.87199999999999,3.164801731546548
0.7400000000000091,0.6800000000000068,155.2433333333333,155.2433333333333,155.2433333333333,2.9732316873507667
0.7199999999999989,0.30000000000001137,155.6057142857143,155.6057142857143,155.6057142857143,2.8785404701159334
0.8799999999999955,0.3599999999999852,156.6185714285714,155.84,155.84,1.7721966460810574
1.7800000000000011,1.3100000000000023,157.21571428571428,155.98222222222225,155.98222222222225,0.7150258070600675
1.3400000000000034,1.3100000000000023,157.21571428571428,155.965,155.965,0.7150258070600675
1.5200000000000102,0.5500000000000114,157.20714285714283,156.07,156.07,0.7158844014158097
2.1699999999999875,0.10999999999998522,156.99714285714285,156.11166666666665,156.11166666666665,0.6427211496368197
2.1799999999999784,0.9899999999999807,156.9057142857143,156.13846153846154,156.13846153846154,0.6705683445868158
1.1699999999999875,0.2400000000000091,156.85857142857142,156.23214285714286,156.23214285714286,0.607492896293952
2.509999999999991,1.3600000000000136,156.88857142857142,156.7535714285714,156.32933333333332,0.6471843779384788
1.5300000000000011,0.28000000000000114,157.16428571428574,157.19000000000003,156.49937500000001,1.0487430117821566
1.5800000000000125,1.0699999999999932,157.58714285714285,157.4014285714286,156.6329411764706,1.0076162345806488
0.6500000000000057,0.37000000000000455,157.97571428571428,157.59142857142857,156.81111111111113,1.2840022993600577
1.450000000000017,0.6999999999999886,158.49571428571429,157.7464285714286,156.99,1.3549398159187416
1.0200000000000102,0.9399999999999977,159.1314285714286,158.01857142857142,157.186,1.2826330804433614
1.4199999999999875,0.6500000000000057,159.49142857142857,158.17499999999998,157.31857142857143,1.067683295292952
1.1300000000000239,0.3499999999999943,159.91000000000003,158.3992857142857,157.80571428571426,0.7790806547891305
1.7700000000000102,1.7700000000000102,160.08428571428573,158.62428571428572,158.1547619047619,0.6854647363372538
1.9099999999999966,1.3799999999999955,160.0457142857143,158.81642857142856,158.28285714285715,0.7736678258541618
2.4000000000000057,1.490000000000009,159.65714285714284,158.81642857142856,158.27999999999997,1.3571994975649215
2.0500000000000114,1.3099999999999739,159.42857142857142,158.96214285714288,158.30714285714285,1.383057344815324
1.8300000000000125,0.799999999999983,159.28714285714287,159.20928571428573,158.44142857142856,1.2505960483667267
0.6400000000000148,0.2400000000000091,159.16571428571427,159.32857142857142,158.50523809523807,1.2139722284420549
1.8899999999999864,1.339999999999975,158.9857142857143,159.44785714285717,158.5947619047619,1.0439006520874337
1.1299999999999955,0.06999999999999318,159.04714285714286,159.56571428571428,158.7652380952381,1.1402735678440485
1.329999999999984,0.789999999999992,159.35142857142858,159.69857142857146,158.9947619047619,1.2489519415817951
2.700000000000017,1.8799999999999955,159.74,159.69857142857146,159.12428571428572,0.7704760433221268
2.1500000000000057,1.5500000000000114,160.18428571428572,159.80642857142857,159.36952380952383,0.8966206396400673
1.4499999999999886,0.7199999999999989,160.22,159.75357142857143,159.54619047619047,0.889288104796935
3.030000000000001,0.9099999999999966,160.26714285714283,159.71642857142857,159.64142857142855,0.8278831295481702
1.1499999999999773,0.9699999999999989,160.15,159.56785714285712,159.68190476190478,1.0145935146648646
1.039999999999992,0.8599999999999852,159.7028571428571,159.37500000000003,159.61142857142858,1.3620292983353237
1.0699999999999932,0.14000000000001478,159.14285714285714,159.24714285714285,159.51333333333335,1.6848908400419107
1.8700000000000045,1.740000000000009,158.6757142857143,159.20785714285716,159.35761904761907,1.8990862464428948
1.7700000000000102,1.7700000000000102,158.1885714285714,159.1864285714286,159.26714285714286,1.3443762936944426
1.4799999999999898,0.4900000000000091,157.67,158.945,159.05904761904762,1.1367644141744269
2.030000000000001,0.5600000000000023,157.3242857142857,158.79571428571427,158.91904761904763,0.8324633554068533
0.7299999999999898,0.5300000000000011,157.1885714285714,158.6692857142857,158.77476190476193,0.6610201351302555
0.5799999999999841,0.4900000000000091,157.26714285714283,158.48499999999996,158.672380952381,0.7416808452363325
0.8799999999999955,0.29000000000002046,157.53857142857143,158.34071428571428,158.67761904761906,0.8443622558165601
1.2900000000000205,0.4000000000000057,157.78857142857143,158.23214285714286,158.73476190476194,0.7651454888108701
0.8900000000000148,0.22999999999998977,157.73285714285717,157.96071428571432,158.70190476190479,0.7344320773158546
1.6800000000000068,1.0200000000000102,157.89714285714285,157.7835714285714,158.5957142857143,0.5206314846963684
1.6200000000000045,0.30000000000001137,157.8457142857143,157.585,158.47904761904763,0.6273982558380112
2.039999999999992,0.9300000000000068,157.75714285714284,157.47285714285718,158.3652380952381,0.7080893137101304
1.759999999999991,0.5300000000000011,157.72571428571428,157.4964285714286,158.23190476190476,0.6940426774307507
2.9099999999999966,0.75,157.54857142857145,157.54357142857143,158.07666666666668,0.5795236138826613
1.700000000000017,1.460000000000008,157.30571428571426,157.5471428571429,157.92333333333332,0.5581773058463635
1.7800000000000011,1.0999999999999943,156.9114285714286,157.32214285714286,157.61095238095237,0.9135905094995369
0.8199999999999932,0.05000000000001137,156.39285714285714,157.145,157.31999999999996,1.3322876852206054
0.9300000000000068,0.05000000000001137,156.02714285714288,156.9364285714286,157.06571428571428,1.5731254907107082
